station_code,station_name,city,state,zone,latitude,longitude,active
SVG,SAWALGI,SAWALGI,Unknown,Unknown,17.339489999999998,76.71113700000001,true
SVHE,SISVINHALLI,Dharwad,Karnataka,SWR,15.4300360491,75.3193615509,true
SVI,SAGARPALI,SAGARPALI,Unknown,Unknown,25.758015,84.098657,true
SVJR,SHIVAJINAGAR,SHIVAJINAGAR,Unknown,Unknown,18.531738,73.851147,true
SVK,SIVARAKOTTAI,SIVARAKOTTAI,Unknown,Unknown,9.738427999999999,77.986107,true
SVKS,SIVAKASI,SIVAKASI,Unknown,Unknown,9.463321,77.78924400000001,true
SVNR,SAVANUR,State Highway 6,Karnataka,SWR,14.9617089325,75.4063188531,true
SVPI,SHIVPURI,Shivpuri,Madhya Pradesh,WCR,25.438444,77.638246,true
SVPM,S VENKTESWRPALM,S VENKTESWRPALM,Unknown,Unknown,14.806671,79.982262,true
SVPR,SRIVILLIPUTTUR,SRIVILLIPUTTUR,Unknown,Unknown,9.497497,77.64494,true
SVQ,SIVOK,Sevoke,West Bengal,NFR,26.880144,88.468742,true
SVR,SEVVAPET ROAD,SEVVAPET ROAD,Unknown,Unknown,13.124996999999999,79.96668799999999,true
SVRP,SHIVANARAYANPUR,SHIVANARAYANPUR,Unknown,Unknown,25.2937259592,87.3330938318,true
SVUR,SEVUR,SEVUR,Unknown,Unknown,12.971785,79.189821,true
SVX,SAVARDA,Ratnagiri,Maharashtra,KR,17.405007,73.515528,true
SVZ,SARAI HARKHU,SARAI HARKHU,Unknown,Unknown,25.835891,82.506309,true
SWA,SAHJANWA,SAHJANWA,Unknown,Unknown,26.763075,83.2147,true
SWAR,SEWAR,Bharatpur,Rajasthan,WCR,27.177901,77.425499,true
SWC,SHIVRAMPUR,National Highway 76,Uttar Pradesh,NCR,25.219375000000003,80.82678299999999,true
SWF,SATHIN ROAD,SATHIN ROAD,Unknown,Unknown,26.48978,73.509748,true
SWI,SWAMIMALAI,Swamimalai,Tamil Nadu,SR,10.942234,79.32878500000001,true
SWM,SAWAI MADHOPUR,SAWAI MADHOPUR,Unknown,Unknown,26.018279,76.35622,true
SWNR,SEWA NAGAR,South Extension 1,Delhi NCT,NR,28.579299000000002,77.22770799999999,true
SWPR,SEWAPURI,SEWAPURI,Unknown,Unknown,25.35077,82.76954900000001,true
SWR,SONUA,SONUA,Unknown,Unknown,22.576498,85.464081,true
SWS,SUWANSA,SUWANSA,Unknown,Unknown,25.698842000000003,82.14656199999999,true
SWU,SANAURA,SANAURA,Unknown,Unknown,31.579622,75.64132599999999,true
SWV,SAWANTWADI ROAD,SH123,Maharashtra,KR,15.866512,73.785308,true
SXA,SAGPHATA,SAGPHATA,Unknown,Unknown,21.574033,76.392141,true
SXB,SAMBRE,Belagavi,Karnataka,SWR,15.891067999999999,74.593121,true
SXF,SOBHAPUR,State Highway 22,Madhya Pradesh,WCR,22.727429,78.29188099999999,true
SXK,SHAJAHANPURCORT,SHAJAHANPURCORT,Unknown,Unknown,27.890862000000002,79.913517,true
SXN,SONAKHAN,SONAKHAN,Unknown,Unknown,22.166579000000002,84.519562,true
SXP,SANKOPARA,State Highway 5,West Bengal,ER,24.7176851264,87.9344515665,true
SXS,SHOBHASAN,State Highway 41,Gujarat,WR,23.542306999999997,72.394212,true
SXX,SALBARI,SALBARI,Unknown,Unknown,26.5460609943,89.10552673400001,true
SYAE,LILUAH (SORTING YARD),LILUAH (SORTING YARD),Unknown,Unknown,22.609028,88.336795,true
SYH,SAIYEDPUR BHTRI,Saidpur,Uttar Pradesh,NER,25.539724,83.23297400000001,true
SYJ,SAIDRAJA,SAIDRAJA,Unknown,Unknown,25.253531,83.35118,true
SYK,SAIDKHANPUR,SAIDKHANPUR,Unknown,Unknown,26.89846,81.462176,true
SYN,SAYAN,SAYAN,Unknown,Unknown,21.317203,72.890287,true
SYW,SINDURWA,SINDURWA,Unknown,Unknown,26.492121,81.56944,true
SYWN,SAIYID SARAWAN,SAIYID SARAWAN,Unknown,Unknown,25.494982,81.613788,true
SZ,SALAWAS,Luni,Rajasthan,NWR,26.139957444700002,73.01452424259999,true
SZA,SAROTRA ROAD,Sarotra,Gujarat,NWR,24.377144,72.592045,true
SZB,SARONA CABIN,SARONA CABIN,Unknown,Unknown,21.2532719083,81.5736163281,true
SZE,SONARDIH,SONARDIH,Unknown,Unknown,23.7915,86.265063,true
SZF,SATBAHINI,SATBAHINI,Unknown,Unknown,24.386582,83.84911,true
SZM,SUBZI MANDI,SUBZI MANDI,Unknown,Unknown,28.668683,77.199696,true
SZR,SARUPATHAR,Sarupathar Road Thana Rd,Assam,NFR,26.195595,93.862021,true
SZZ,SABIRA,SABIRA,Unknown,Unknown,21.236882,86.62923699999999,true
TA,TANUR,Malappuram,Kerala,SR,10.97954,75.880597,true
TAA,TADLA PUSAPALLI,Mahbubabad,Andhra Pradesh,SCR,17.626312868499998,79.9541837128,true
TAC,TATICHERLA,TATICHERLA,Unknown,Unknown,14.7483502106,77.59500059450001,true
TADA,TADA,TADA,Unknown,Unknown,13.587948,80.035435,true
TAE,TADALI,TADALI,Unknown,Unknown,20.034835,79.187503,true
TALL,TALL JN,TALL JN,Unknown,Unknown,25.3787000521,85.9546829749,true
TAO,TAMNA,TAMNA,Unknown,Unknown,23.268988,86.352313,true
TAP,TAPANG,TAPANG,Unknown,Unknown,20.052879,85.580989,true
TAR,THARSA,THARSA,Unknown,Unknown,21.256602,79.41467,true
TATA,TATANAGAR JN,TATANAGAR JN,Unknown,Unknown,22.768954,86.20056000000001,true
TATI,TATI,TATI,Unknown,Unknown,22.558381999999998,84.918457,true
TAV,Talala Junction,Junagadh,Gujarat,WR,21.04184,70.522164,true
TAZ,TARGAON,Satara,Maharashtra,CR,17.514242,74.155817,true
TBAE,TRIBENI,Tribeni,West Bengal,ER,22.990357999999997,88.398096,true
TBB,TILBHITA,TILBHITA,Unknown,Unknown,24.677287999999997,87.842581,true
TBM,TAMBARAM,TAMBARAM,Unknown,Unknown,12.926035689399999,80.1191573807,true
TBMS,TAMBARAM SANATORIUM,TAMBARAM SANATORIUM,Unknown,Unknown,12.937978000000001,80.131614,true
TBN,TIMARNI,Timarni,Madhya Pradesh,WCR,22.375860000000003,77.2294,true
TBT,TALBAHAT,TALBAHAT,Unknown,Unknown,25.039255,78.414552,true
TBV,TIMBARVA,TIMBARVA,Unknown,Unknown,21.146312,73.144398,true
TCL,TYAKAL,TYAKAL,Unknown,Unknown,12.984096000000001,78.070518,true
TCR,THRISUR,THRISUR,Unknown,Unknown,10.514790000000001,76.207919,true
TDD,TADEPALLIGUDEM,TADEPALLIGUDEM,Unknown,Unknown,16.809960999999998,81.526314,true
TDK,TADUKU,TADUKU,Unknown,Unknown,13.502044999999999,79.526498,true
TDL,TUNDLA JN,TUNDLA JN,Unknown,Unknown,27.207747,78.233285,true
TDLE,TILDANGA,TILDANGA,Unknown,Unknown,24.786749,87.873801,true
TDN,TIRUPARANKNDRM,TIRUPARANKNDRM,Unknown,Unknown,9.879446999999999,78.065958,true
TDO,TANDA URMAR,Urmar Tanda,Punjab,NR,31.672179,75.637595,true
TDP,TODARPUR,TODARPUR,Unknown,Unknown,27.579601,80.020029,true
TDR,TIRUVIDAIMARUTHUR,Thiruvidaimaruthur,Tamil Nadu,SR,10.990634,79.453706,true
TDU,TANDUR,TANDUR,Unknown,Unknown,17.25044,77.585037,true
TDV,THONDEBHAVI,THONDEBHAVI,Unknown,Unknown,13.503502999999998,77.51457300000001,true
TDW,TANDWAL,TANDWAL,Unknown,Unknown,30.23388,76.98871199999999,true
TEA,Taregna,Taregna,Bihar,ECR,25.3552301906,85.038112915,true
TEG,TIRBEDIGANJ,TIRBEDIGANJ,Unknown,Unknown,26.667533,81.281105,true
TEL,TENALI JN,TENALI JN,Unknown,Unknown,16.242409000000002,80.640413,true
TELO,TELO,TELO,Unknown,Unknown,23.811038,86.13389199999999,true
TEN,TIRUNELVELI,Tirunelveli,Tamil Nadu,SR,8.73636,77.707979,true
TEO,TEEGAON,TEEGAON,Unknown,Unknown,21.637046,78.460308,true
TET,TETULMARI,TETULMARI,Unknown,Unknown,23.814441,86.34357,true
